"投稿内容","投稿回数","","",""
"","0","","","人生は、何が起こるかではなく、自分が何をするかによって決まる。 - デール・カーネギー"
"","0","","","人生は、失敗することを恐れるものではなく、挑戦することを楽しむものである。 - ジョナサン・クレイマー"
"","0","","","人生は、一度きりのチャンスである。だからこそ、自分自身を信じて、自分自身を実現しなければならない。 - エリザベス・アーデン"
"","0","","","自分自身を信じることができる人は、自分自身を超えることができる。 - シルヴィア・プラス"
"","0","","","成功するために必要なのは、行動することである。 - パブロ・ピカソ"
"","0","","","思いやりがある人は、心に余裕がある人である。 - ソクラテス"
"","0","","","逆境こそが、強さを生む。 - アーノルド・シュワルツェネッガー"
"","0","","","偉大なる人生とは、偉大なる志を持つ人生である。 - ヘレン・ケラー"
"","0","","","成功するために必要なのは、自分自身を律することである。 - ジョセフ・マーフィー"
"","0","","","常に学び、常に向上し続けることが、成功するための秘訣である。 - ブライアン・トレーシー"
"","0","","","目標を設定し、目標に向かって歩むことが、成功するための近道である。 - ジム・ローン"
"","0","","","人生とは、他人に奉仕することで価値がある。 - アルバート・アインシュタイン"
"","0","","","変化が必要なとき、私たちは選択することができる。変化に抵抗するか、変化を受け入れるか。 - ジェイムズ・ブライデンバック"
"","0","","","自分自身に対する信頼が、すべての成功の基盤である。 - ラルフ・ウォルド・エマーソン"
"","0","","","人生には、試練がある。だからこそ、逆境を乗り越える力が必要である。 - ジェフ・ベゾス"
"","0","","","明日は明日の風が吹く。 - マーガレット・ミッチェル"
"","0","","","小さなことから始めることが、大きな成功への第一歩である。 - ラルフ・マーソン"
"","0","","","人生は、自分自身が望むものを得るための旅である。 - ジョセフ・キャンベル"
"","0","","","成功するために必要なのは、自分自身に対する信頼である。 - ジョン・ロックフェラー"
"","0","","","あなたが自分自身でなければ、誰があなた自身であることができるか。 - アンドレ・ジッド"
"","0","","","今日やれることを明日に回すな。 - ベンジャミン・フランクリン"
"","0","","","人生には勝ち負けがある。でも、その意味を見出せるかどうかが大切なのだ。 - ビル・シャンクリン"
"","0","","","一番偉大なる挑戦とは、自分自身を超えることである。 - アリストテレス"
"","0","","","幸せとは、自分が選んだ道を歩くことである。 - ジョージ・バーナード・ショー"
"","0","","","変化を避けることができない。しかし、変化を恐れることは選択肢の一つである。 - ヘロドトス"
"","0","","","成功するためには、人生の目的を持つことが必要である。 - ブレンダン・バイリー"
"","0","","","人生において失敗は、成功への最初のステップである。 - チャールズ・ケタリング"
"","0","","","あなたが現在持っているもの、あなたの過去である。 - ゾーイ・セイジ"
"","0","","","もし人生に価値を見出せないなら、自分自身が価値を持つために、他人に価値を与えることをするべきだ。 - アルベルト・シュヴァイツァー"
"","0","","","夢を持ち続け、夢に向かって進むことが、成功への秘訣である。 - ジャック・カナフィールド"
"","0","","","挑戦しなければ、失敗することもない。しかし、それは自分自身を否定することにもなる。 - セレステ・ノバック"
"","0","","","人生は、過去を忘れることができない人にとって、とても重荷となる。しかし、それを乗り越えることができれば、人生は美しいものとなる。 - ジョン・ロック"
"","0","","","変化に対してオープンであることが、人生を成功に導く秘訣である。 - トニー・ロビンズ"
"","0","","","あなたが与える価値は、あなたが受け取る価値以上であるべきである。 - ジム・ローン"
"","0","","","人生で最も大切なことは、自分自身を信じることである。 - シンディ・クロフォード"
"","0","","","夢を追いかけることは、それを実現するために何かをすることとは違う。 - フェリシア・デイ"
"","0","","","人生で最も貴重なものは、失うことができないものである。 - ジム・ローン"
"","0","","","あなたが目標を設定しなければ、あなたが到達することができるものは何もない。 - マイケル・ジョーダン"
"","0","","","人生は、幸福を求める旅である。 - アメリカ先住民のことわざ"
"","0","","","弱者は、その機会を待つ。強者は、自らの機会をつくる。 - ブルース・リー"
"","0","","","成功とは、自分が達成したいと思うことに向かって歩き続けることである。 - ジョン・C・マクスウェル"
"","0","","","変化に対して柔軟であることが、生き残るための重要な条件である。 - チャールズ・ダーウィン"
"","0","","","成功は、どんなに小さなものでも、行動を起こすことから始まる。 - ウィリアム・シェイクスピア"
"","0","","","人生で最も大切なことは、自分自身を知ることである。 - ソクラテス"
"","0","","","人生には、思わぬチャンスがたくさんある。重要なのは、それをつかむことである。 - ジョセフ・ハンター"
"","0","","","困難は、成長するための貴重な機会である。 - ジョン・F・ケネディ"
"","0","","","人生において最も大切なことは、やりたいことをすることである。 - オプラ・ウィンフリー"
"","0","","","行動することが、あらゆる成果を生み出す。 - ラルフ・ウォルド・エマーソン"
"","0","","","成功の秘訣は、目標を明確にし、それに向かって行動することである。 - トム・ランドリー"
"","0","","","自分自身を知ることが、人生で最も大切なことである。 - レオナルド・ダ・ヴィンチ"
"","0","","","もし自分が進むべき道を知っているのなら、それを進みなさい。 - リンカーン"
"","0","","","もし他人の心を理解しようとしなければ、自分自身を理解することはできない。 - ジョージ・サンタヤナ"
"","0","","","挑戦しない者は、勝利の喜びを知ることができない。 - パウロ・コエーリョ"
"","0","","","私たちは、自分自身を超えることで成長する。 - ダニエル・レヴィン"
"","0","","","変革のためには、常に行動が必要である。 - ファーストレディーのミシェル・オバマ"
"","0","","","未来を予測する最良の方法は、未来を創造することである。 - ピーター・ドラッカー"
"","0","","","自分が人生に何を求めるかを知ることが、自己実現の第一歩である。 - スティーブ・ジョブズ"
"","0","","","問題を解決するためには、過去の方法ではなく、新しい方法を見つける必要がある。 - パンチャタントラ"
"","0","","","明日死ぬと思って今日を生きることが大切だ。 - マハトマ・ガンディー"
"","0","","","夢を見ることは、現実を作る第一歩である。 - ヒュー・ハワード"
"","0","","","恐れは、自分自身を抑圧する力である。 - ロバート・K・クーリー"
"","0","","","限界を超えるためには、まず自分自身を信じることが必要である。 - ブルース・リー"
"","0","","","良いリーダーとは、他人を導くために自分自身を犠牲にすることができる人である。 - ジョン・C・マクスウェル"
"","0","","","挑戦があれば、それを受け入れる勇気を持とう。 - ウォルト・ディズニー"
"","0","","","成功するためには、恐れずに失敗することが必要である。 - ロバート・F・ケネディ"
"","0","","","成功するためには、過去の自分自身を超える必要がある。 - ミシェル・オバマ"
"","0","","","成功は80%の勇気と20%の知識である。 - トーマス・エジソン"
"","0","","","教育は生命の装備である。 - マルコムX"
"","0","","","人生は進化するものである。 - コンスタンティン・スタニスラフスキー"
"","0","","","友情とは、自分自身の二倍の存在である。 - セント・アグスティン"
"","0","","","問題を解決するためには、正確に問題を定義することが必要である。 - アルベルト・アインシュタイン"
"","0","","","愛という言葉は大きな意味を持つが、それ以上に大きな意味を持つのは行動である。 - ハロルド・ベル・ライト"
"","0","","","チャンスは、準備ができている人にしか与えられない。 - ルイ・パスツール"
"","0","","","変化することができないものは滅びる。 - チャールズ・ダーウィン"
"","0","","","本当に価値あるものは、どんな苦難や犠牲を払ってでも手に入れるべきものである。 - ラルフ・ワルド・エマーソン"
"","0","","","自分自身を知り、自分自身を愛することができれば、他人を理解することができる。 - イヴ・セントローレンス"
"","0","","","経験から学ぶことができるものは、それを学ぶための態度である。 - ジョン・デューイ"
"","0","","","私たちは変化を恐れるのではなく、変化が私たちを担保すると信じることを恐れる。 - フランクリン・D・ルーズベルト"
"","0","","","成功は、単なる目的ではなく、道のりである。 - ジョージ・クリスティアン"
"","0","","","過去を変えることはできないが、未来を変えることはできる。 - オプラ・ウィンフリー"
"","0","","","人生は短いが、素晴らしい人生を送ることができる。 - マザー・テレサ"
"","0","","","諦めることを知っている人は、勝利することを知っている人である。 - ナポレオン・ヒル"
"","0","","","信じることができると思う限りしか、できることはない。 - ヘンリー・フォード"
"","0","","","成功するには、リスクを取る必要がある。 - ビル・ゲイツ"
"","0","","","道を開くのではなく、道を切り開く。 - ラルフ・ワルド・エマーソン"
"","0","","","心の中に太陽を持てば、暗闇でも明るい道を歩むことができる。 - マハトマ・ガンジー"
"","0","","","継続は力なり。 - ウィリアム・シェイクスピア"
"","0","","","夢を追いかける人生は、限りない可能性に満ちている。 - パウロ・コエーリョ"
"","0","","","言葉よりも行動が大切である。 - ウィリアム・シェイクスピア"
"","0","","","常に学び続けることができる人こそ、成功する。 - ヘンリー・フォード"
"","0","","","挑戦しなければ、変化は起こらない。 - フレッド・デイビッドソン"
"","0","","","自分自身を知り、自分自身を受け入れることが、幸せへの鍵である。 - オードリー・ヘップバーン"
"","0","","","人生で最も重要なことは、与えることである。 - ウィンストン・チャーチル"
"","0","","","心を開くことで、未来はより良くなる。 - オプラ・ウィンフリー"
"","0","","","自分自身を信じ、自分自身の能力を信じることが、成功への近道である。 - アーサー・アシュ"
"","0","","","すべての難題には、必ず解決策がある。 - ウィンストン・チャーチル"
"","0","","","失敗は成功の母である。 - ラルフ・ワルド・エマーソン"
"","0","","","愛は決して間違っていない。 - レオナルド・ダ・ヴィンチ"
"","0","","","人生は一度きりである。自分がしたいことをして、自分がなりたい人になることが大切である。 - ジョージ・バーナード・ショー"
"","0","","","簡単にできることは、それが偉大なることではない。 - オードリー・ヘップバーン"
"","0","","","あなたが今日できることを明日に回すな。 - ベンジャミン・フランクリン"
"","0","","","人生で最も大切なことは、その日の終わりに自分自身に向き合うことである。 - ラルフ・ワルド・エマーソン"
"","0","","","世界が変わるには、まず自分が変わらなければならない。 - マハトマ・ガンジー"
"","0","","","誰かを愛することは、その人を理解することから始まる。 - マザー・テレサ"
"","0","","","偉大な成功は、最初の小さな一歩から始まる。 - オーソン・スコット・カード"
"","0","","","強さは、自分自身をコントロールできることにある。 - アルベルト・アインシュタイン"
"","0","","","夢を実現するためには、まず夢を見ることから始めよ。 - ムハンマド・アリ"
"","0","","","幸福は、成功や名声や富ではなく、内なる平和の中にある。 - デール・カーネギー"
"","0","","","自分自身を信じることができなければ、他の誰もあなたを信じてくれない。 - リリアン・ディッシュマン"
"","0","","","成功は、チャンスと準備が重なるときに訪れる。 - ザイグ・ジグラー"
"","0","","","成功するためには、自分自身を犠牲にする必要はない。自分自身を最優先に考えよう。 - アーノルド・シュワルツェネッガー"
"","0","","","成功の鍵は、常に前進することにある。 - ヘレン・ケラー"
"","0","","","苦しみや不幸な経験こそが、人生で最も貴重なものである。 - ウォルト・ディズニー"
"","0","","","自分自身を知り、自分自身を愛することが、他の人々を愛するための秘訣である。 - ルーシー・モード・モンゴメリー"
"","0","","","失敗する勇気を持つことが、成功する秘訣である。 - ジョージ・アデア"
"","0","","","成功とは、失敗を重ねているうちにやってくるものである。 - アルバート・アインシュタイン"
"","0","","","人生は一度だけだ。だから失敗しても後悔しても、絶対に諦めないで、チャレンジし続けることが大切だ。 - マイケル・ジョーダン"
"","0","","","人生とは、自分がどのように生きるかを決めることだ。他人に決められるものではない。 - エレノア・ルーズベルト"
"","0","","","成功への近道は、努力することだ。 - トーマス・ジェファーソン"
"","0","","","自分自身に嘘をつくことなく、自分を愛し、自分を尊重することが大切だ。 - アンドレ・ギッド"
"","0","","","失敗は成功のもとである。 - ヘンリー・フォード"
"","0","","","人生において成功するには、自分が何をしたいのか、何に興味があるのかを知ることが必要だ。 - ジョージ・ルイス"
"","0","","","困難があるからこそ、成功がある。 - マイケル・ファラデー"
"","0","","","自分の内面を知り、自分の強みを生かすことが、人生で成功するための鍵だ。 - デビッド・ジョーゼフ・シュワルツ"
"","0","","","成功の秘密は、他人に影響を与えることだ。 - ロバート・ヒューリー"
"","0","","","人生において最も大切なことは、常に前向きであることだ。 - ウィンストン・チャーチル"
"","0","","","成功のためには、最初に夢を持つことが必要だ。 - デボラ・ロッセン"
"","0","","","他人に与える影響力は、あなたが思っている以上に大きい。 - ラルフ・ウォルドー・エマーソン"
"","0","","","人生とは、挑戦することができるすばらしい冒険である。 - ウィリアム・ジョージ・ジョーダン"
"","0","","","人生において成功するためには、決断をすることが大切だ。 - アンドレ・マルロ"
"","0","","","知識は力である。 - フランシス・ベーコン"
"","0","","","人生には二つの重大な瞬間がある。一つ目は生まれた瞬間で、もう一つはその目的を見つけた瞬間だ。 - ネイサン・ボンド"
"","0","","","幸福は内面からやってくるものである。 - アリストテレス"
"","0","","","常に変化することに順応しよう。 - コンフィシウス"
"","0","","","優しさは人間にとって最高の美徳である。 - プラトン"
"","0","","","夢中になれるものがあるかぎり、人生には意味がある。 - スティーブ・ジョブズ"
"","0","","","やりたいことが見つからないなら、自分で創り出そう。 - ジョージ・ベルナード・ショー"
"","0","","","愛は決して遅すぎることはない。 - フェイ・ウォン"
"","0","","","信じることができるものに投資しなさい。自分自身に。 - ビリー・ビーン"
"","0","","","真の勇気は、自分自身を知り、自分自身に正直であることにある。 - コンフィシウス"
"","0","","","知らないことを知る勇気を持て。 - エピクテトス"
"","0","","","今日を大切に生きよう。昨日は去り、明日はまだ来ていない。 - アーサー・シュニッツラー"
"","0","","","人生は短く、芸術は長い。 - ヒポクラテス"
"","0","","","人生には迷うことがある。でも、それを乗り越えたときに、本当の人生が始まる。 - ジョン・レノン"
"","0","","","あなたが自分で思い描いたことを、誰かに期待するのではなく、自分自身で行動しましょう。 - ビリー・コックス"
"","0","","","成功は最高の復讐である。 - フランク・シナトラ"
"","0","","","人生は自分自身のものであり、自分自身の規則で生きなければならない。 - ジェーン・オースティン"
"","0","","","道は自ら歩むものにある。 - ラルフ・ワルド・エマーソン"
"","0","","","人生に失敗はなく、学びがあるだけである。 - ネルソン・マンデラ"
"","0","","","成功するには、最初に自分自身を変えることから始めなければならない。 - ジム・ローン"
"","0","","","人生は短い。 - ヘンリー・デイヴィッド・ソロー"
"","0","","","人間は自分自身を作り上げる存在である。 - パウロ・コエーリョ"
"","0","","","人生にはルールがない。ルールを破ることができるところに限界はない。 - アーノルド・シュワルツェネッガー"
"","0","","","人生に勝ち負けはない。ただ、自分自身が成長していけるかどうかだけだ - メアリー・ピアース"
"","0","","","常に笑っている人は、常に勝利しているわけではないが、常に幸せである。 - ナポレオン・ヒル"
"","0","","","失敗は成功の母。 - ラルフ・ワルド・エマーソン"
"","0","","","自分自身を信じることができなければ、誰もあなたを信じることはできない。 - リンドン・B・ジョンソン"
"","0","","","大きな目標を持たなければ、小さなことにも熱中することはできない。 - アンドリュー・カーネギー"
"","0","","","自分を犠牲にしなければ、何も手に入れることはできない。 - アルバート・シュヴァイツァー"
"","0","","","自分の夢を追いかけることは、自分自身を追いかけることである。 - ナポレオン・ヒル"
"","0","","","成功するには、一度も諦めないことが必要である。 - ウィンストン・チャーチル"
"","0","","","真実は、人々に好ましいものである必要はない。 - ニール・ドナルド・ウォルシュ"
"","0","","","人間の可能性は無限である。 - アーサー・C・クラーク"
"","0","","","失敗は、成功への扉を開く鍵である。 - ジョン・D・ロックフェラー"
"","0","","","人生は一箱のマッチに似ている。重大に扱うのは、一度きりである。誤りを起こすと、後がない。 - 小林一三"
"","0","","","困難が訪れたときこそ、勇気を持って挑戦しよう。 - ウォルト・ディズニー"
"","0","","","夢に向かって進む過程こそが、自分自身を成長させるものです。 - 渡辺謙"
"","0","","","失敗することで得られるものは、成功では得られない。 - マリリン・モンロー"
"","0","","","変化を恐れず、チャンスを逃さず、挑戦し続ける人生があなたを幸せにする。 - 樋口新葉"
"","0","","","成功の秘訣は、一つのことに情熱を傾けることだ。 - デヴィッド・フロスト"
"","0","","","夢を追い求めることは、危険なことではなく、逆に最も安全なことだ。 - リチャード・ブランソン"
"","0","","","信じることができる者は、信じることができる。 - ロナルド・レーガン"
"","0","","","心が躍るような何かを追い求めることこそが、人生の真の目的である。 - ジョン・ロックフェラー"
"","0","","","限界を超えるためには、まず自分自身に挑戦しなければならない。 - ドナルド・トランプ"
"","0","","","変革をもたらすためには、行動を起こすことが必要不可欠だ。 - マハトマ・ガンジー"
"","0","","","優しさは、誰かの心を温かくし、世界を変えることができる。 - ジェシカ・アルバ"
"","0","","","私たちは、失敗をすることを恐れるあまり、成功することをあきらめてしまうことがある。 - ウォルト・ディズニー"
"","0","","","知識とは、自分自身を生かすために必要なものであり、自分以外の人たちの役に立てるものである。 - アルベルト・アインシュタイン"
"","0","","","最も大切なことは、決して成功することではなく、失敗から学ぶことだ。 - デール・カーネギー"
"","0","","","信念は、自分自身を持ち上げるための最高の手段である。 - マイケル・キューブリー"
"","0","","","天才とは、1%のひらめきと99%の努力である。 - トーマス・エジソン"
"","0","","","成熟とは、他人を非難することから自分自身を見つめることへと成長することである。 - ジョン・C・マクスウェル"
"","0","","","人生は短いが、死は永遠である。 - ナポレオン・ボナパルト"
"","0","","","批判されることが嫌なら、何もするな。何も言わないな。何も成し遂げることがないな。 - エレノア・ルーズベルト"
"","0","","","もしも失敗することを恐れて何もしなければ、何も起こらない。 - コロンブス"
"","0","","","夢を見ることができれば、それは実現できる。 - ウォルト・ディズニー"
"","0","","","苦難に打ち勝つことができる唯一の方法は、それに立ち向かうことだ。 - ウィンストン・チャーチル"
"","0","","","最高のリーダーは、もっとも信頼できるフォロワーを育てる。 - フランクリン・ルーズベルト"
"","0","","","心から楽しむことができる人生こそが、幸福な人生である。 - ジョージ・バーナード・ショー"
"","0","","","自分を知り、自分を愛し、自分をコントロールすることができる人は、真の勝者である。 - ロビン・S・シャルマ"
"","0","","","失敗を受け入れ、それから立ち上がることが、成功への唯一の道である。 - ローレンス・J・ペーター"
"","0","","","目標を設定することは、成功するための最初のステップである。 - セシル・B・デミル"
"","0","","","嘘をつかず、自分自身に正直であることが、最も重要なことである。 - ルーサー・ビブル"
"","0","","","成功するためには、自分自身に向き合い、自分自身を超えることが必要だ。 - パトリック・デンプシー"
"","0","","","人生は短く、怒る時間を無駄にする余裕はない。 - トニー・ロビンズ"
"","0","","","苦しみは避けられないが、苦しみから逃げることはできる。 - ハリエット・ルーセル・ショウ"
"","0","","","リーダーシップとは、チームを導くことである。 - トム・ランバス"
"","0","","","自分自身を信じることができれば、何でもできる。 - ミシェル・オバマ"
"","0","","","目標を持たない人は、どこに向かっているのか分からない。 - ルイス・キャロル"
"","0","","","才能は、あなたができることを教えてくれる。信念は、あなたがやり続けることを教えてくれる。 - トニー・ロビンズ"
"","0","","","成功には、地道な努力が必要である。 - アイザック・アシモフ"
"","0","","","あなたが思っているよりもずっと強い人生が待っている。 - ローザ・パークス"
"","0","","","成功するためには、行動を起こすことが必要だ。 - トニー・ロビンズ"
"","0","","","人生は短く、後悔する時間はない。 - ロバート・ブラウニング"
"","0","","","真の幸福とは、内面からやってくるものである。 - ヘレン・ケラー"
"","0","","","変化を望むなら、まず自分自身から変わることが必要だ。 - マハトマ・ガンジー"
"","0","","","人生には、悲しみや苦しみがつきものだ。だが、それらは成長するための貴重な機会である。 - デール・カーネギー"
"","0","","","変化することを恐れないで欲しい。それがあなたの成長のためになる。 - フレッド・ロジャース"
"","0","","","自分に嘘をつかないで、真実に向き合うことが大切だ。 - マイケル・ジョーダン"
"","0","","","困難な状況こそ、成長するためのチャンスだ。 - ウィンストン・チャーチル"
"","0","","","成功するには、自分自身を信じることが必要だ。 - バーバラ・コクラン"
"","0","","","人生は選択の連続である。選択を誤れば、人生は変わってしまう。 - ジェームズ・オースティン"
"","0","","","あなたの人生は、あなた自身が作り上げるものである。 - ナポレオン・ヒル"
"","0","","","自分自身に誠実であることが、最も重要なことである。 - ショーン・コネリー"
"","0","","","失敗は成功のもとである。 - ヘレン・ケラー"
"","0","","","不可能と思えることでも、あきらめずに取り組むことが重要である。 - ドナルド・トランプ"
"","0","","","目標を持ち、自分を信じることができれば、何でも達成できる。 - マララ・ユスフザイ"
"","0","","","人生は短い。自分自身を大切にし、自分らしく生きよう。 - ウィリアム・シェイクスピア"
"","0","","","苦しんでいる人を助けることこそ、人生の目的である。 - アルバート・シュヴァイツァー"
"","0","","","自分自身に向き合い、自分自身を受け入れることが、自分自身を愛することである。 - ローレンス・クラブ"
"","0","","","自分自身に自信を持ち、決断することが成功への鍵である。 - エイブラハム・リンカーン"
"","0","","","自分自身を律することができれば、世界を征服できる。 - プラトン"
"","0","","","自分自身を知り、自分自身を受け入れることが成長の鍵である。 - マックス・エアーズ"
"","0","","","過去を振り返ることはできない。ただ、未来に向けて前進することしかできない。 - アンディ・アンドリュース"
"","0","","","自分自身を律することができる者は、他者を支配することができる。 - ウィリアム・ペン"
"","0","","","優れたリーダーは、過去の成功にとらわれず、未来へのビジョンを持って行動する。 - ロバート・F・ケネディ"
"","0","","","天才とは、1％のひらめきと99％の努力から生まれるものである。 - トーマス・エジソン"
"","0","","","失敗することは恐れることではなく、失敗から立ち上がれないことこそが恐れるべきことである。 - チャールズ・F・キェタリング"
"","0","","","成功とは、落ちたときに立ち上がる勇気と決断力によって得られるものである。 - ウィンストン・チャーチル"
"","0","","","信念という力は、世界を変えることができる。 - マハトマ・ガンディー"
"","0","","","良いリーダーは、他者が自分自身を超えることを助ける。 - ラルフ・N・エイブラムス"
"","0","","","目標を達成するためには、行動に移すことが必要である。 - トニー・ロビンズ"
"","0","","","自分自身を制することができなければ、他者を制することはできない。 - ミゲル・デ・セルバンテス"
"","0","","","誰かを助けることができる人は、最も幸せな人である。 - ラルフ・ウォルド・エマーソン"
"","0","","","変化こそが、成長と成功への扉である。 - リンダ・エリス"
"","0","","","困難な状況こそ、人々を強くし、成功に向かわせる力となる。 - ヘレン・ケラー"
"","0","","","あなたができる限りのことを尽くし、結果にとらわれることなく、現在に集中しなさい。 - ケネス・W・クレメンツ"
"","0","","","自分自身を理解し、自分自身を愛することができれば、あなたは人生の最高の友人と出会うことができます。 - ルーシー・モーディー"
"","0","","","どんなに長い旅路でも、最初の一歩から始めなければなりません。 - レイモンド・リンドクエスト"
"","0","","","信念があれば、どんなことでも可能です。 - マーティン・ルーサー・キング・ジュニア"
"","0","","","あなたがしたことを覚えている人は少ないかもしれませんが、あなたが与えた感触は忘れられません。 - マヤ・アンジェロウ"
"","0","","","過去に取り返しのつかないことがあっても、未来を取り戻すことはできます。 - リチャード・カールソン"
"","0","","","あなたは自分自身に、あなたが信じることができるものを与えなければなりません。 - ルーシー・モーディー"
"","0","","","人生において、常にチャレンジを受け入れる覚悟が必要です。 - ジャパニーズ・プロバーブ"
"","0","","","成功には、決断と行動が必要です。 - ラルフ・マーソン"
"","0","","","成功への秘訣は、一度に一歩ずつ前進することです。 - ジム・ローン"
"","0","","","不可能は、まだ実現されていないことにすぎません。 - モットー"
"","0","","","自分自身を発見するために、まずは失敗しなければなりません。 - ハーヴェイ・マックケイ"
"","0","","","一歩一歩前進していると、あなたは目的地に到達します。 - アントニー・ロビンズ"
"","0","","","真の成功とは、他人を幸せにすることです。 - デール・カーネギー"
"","0","","","失敗は成功のもと。 - デール・カーネギー"
"","0","","","夢を見ることができる人に、限界はない。 - マイケル・ジョーダン"
"","0","","","本物のリーダーは、成功のために必要な仕事をやり、他の人にはできないような仕事をやり続ける。 - アリストテレス"
"","0","","","真実はいつも一つ。 - ガリレオ・ガリレイ"
"","0","","","最も重要なものは、あなたが何を思うかではなく、あなたが何をなすかである。 - ナポレオン・ヒル"
"","0","","","成功するために必要なものは、意欲、目標、勇気、そして方法である。 - ロバート・コーディア"
"","0","","","心の豊かさが、真の富である。 - ロバート・T・キヨサキ"
"","0","","","人生には二つのルールがある。ルール1: 決して放棄しないこと。ルール2: ルール1を忘れるな。 - ロナルド・E・オズボーン"
"","0","","","挫折したときこそ、本当の自分に気づけるときだ。 - ヘンリー・フォード"
"","0","","","自分自身に対する信頼こそ、すべての成功の基盤である。 - ラルフ・W・エマーソン"
"","0","","","あなたの人生に意味を与えることができるものは、あなた自身だけである。 - オードリー・ヘップバーン"
"","0","","","勝者はあきらめないし、あきらめた者は勝者ではない。 - ヴィンス・ロンバルディ"
"","0","","","あなたが夢見ることができることをすることができると信じることができるなら、あなたはすでに成功への第一歩を踏み出している。 - ムハンマド・アリ"
"","0","","","成功するためには、自分が思い描いた未来に向かって進むことが必要である。 - ジョン・F・ケネディ"
"","0","","","自分の運命をつかむのに遅すぎることはない。 - ビル・クリントン"
"","0","","","習慣は第二の天性である。 - アリストテレス"
"","0","","","行動よりも大事なものは考えることである。 - レオナルド・ダ・ヴィンチ"
"","0","","","努力すれば必ず結果がついてくる。 - ホラティウス"
"","0","","","知識は力である。 - フランシス・ベーコン"
"","0","","","根気と時間と努力があれば、何でも達成できる。 - サミュエル・スマイルズ"
